Unidade,Telefone WhatsApp
"UBS Angélica Anache","(67) 9 8191-0094"
"UBS Bonifácio Tiaen","(67) 9 8191-0083"
"UBS Breno de Medeiros I e II","(67) 9 8191-0134"
"UBS Ênio Cunha I","(67) 9 8191-0162"
"UBS Ênio Cunha II","(67) 9 8191-0073"
"UBS Gastão de Oliveira I e II","(67) 9 8191-0103"
"UBS Humberto Pereira","(67) 9 8191-0082"
"UBS Jardim dos Estados","(67) 9 8191-0227"
"UBS João Fernandes","(67) 9 8191-0127"
"UBS Lúcia Maria I, Lúcia Maria II e Simone Flores","(67) 9 8191-0186"
"UBS Luis Fragelli","(67) 9 8191-0086"
"UBS Nova Corumbá","(67) 9 8191-0237"
"UBS Padre Ernesto","(67) 9 8191-0160"
"UBS Pedro Paulo I e II","(67) 9 8191-0181"
"UBS Popular Velha","(67) 9 8191-0048"
"UBS Ranulfo de Jesus","(67) 9 8191-0229"
"UBS Rosimeire Ajala","(67) 9 8191-0143"
"UBS Ribeirinha","(67) 9 8191-0102"
"UBS São Bartolomeu","(67) 9 8191-0079"
"UBS Walter Victório e Fernando Moutinho","(67) 9 8191-0175"
"Zona Rural",
"UBS Celeste Dias/Albuquerque","(67) 9 8191-0222"
"UBS Taquaral","(67) 9 8191-0184"
"UBS Mato Grande","(67) 9 8191-0101"
